"","Time","ETR","Dangle","EQT","ZenithAngle","AirMass","GHI"
"5146",5146,1326.73024824937,3.68384015270255,-6.41303682497344,64.6754788257677,2.32806946801621,393.015912707366
"5147",5147,1326.73024824937,3.68384015270255,-6.41303682497344,56.5642741495912,1.81082601043831,529.02642569722
"5148",5148,1326.73024824937,3.68384015270255,-6.41303682497344,51.263967984147,1.59556611388456,612.485931467615
"5149",5149,1326.73024824937,3.68384015270255,-6.41303682497344,49.6956039568121,1.54369384609724,636.162881939103
"5150",5150,1326.73024824937,3.68384015270255,-6.41303682497344,52.199993971585,1.62880807922623,598.122363716935
"5151",5151,1326.73024824937,3.68384015270255,-6.41303682497344,58.2493957971208,1.89556565332597,501.494110980241
"5152",5152,1326.73024824937,3.68384015270255,-6.41303682497344,66.8772106250908,2.53340641186879,354.89763185878
"5153",5153,1326.73024824937,3.68384015270255,-6.41303682497344,77.2059951900008,4.43306086604629,175.720498520028
"5154",5154,1326.73024824937,3.68384015270255,-6.41303682497344,88.6176460354224,23.2643344077505,32.5568788840526
"5155",5155,1326.73024824937,3.68384015270255,-6.41303682497344,100.708733749572,0,0
"5156",5156,1326.73024824937,3.68384015270255,-6.41303682497344,113.207890063282,0,0
"5157",5157,1326.73024824937,3.68384015270255,-6.41303682497344,125.904779378593,0,0
"5158",5158,1326.73024824937,3.68384015270255,-6.41303682497344,138.57487000084,0,0
"5159",5159,1326.73024824937,3.68384015270255,-6.41303682497344,150.81824748068,0,0
"5160",5160,1326.73024824937,3.68384015270255,-6.41303682497344,161.407583674953,0,0
"5161",5161,1327.09753168314,3.70105435902359,-6.34419693343564,165.418256268881,0,0
"5162",5162,1327.09753168314,3.70105435902359,-6.34419693343564,159.02495662542,0,0
"5163",5163,1327.09753168314,3.70105435902359,-6.34419693343564,147.872772330001,0,0
"5164",5164,1327.09753168314,3.70105435902359,-6.34419693343564,135.488333935136,0,0
"5165",5165,1327.09753168314,3.70105435902359,-6.34419693343564,122.790395197645,0,0
"5166",5166,1327.09753168314,3.70105435902359,-6.34419693343564,110.116993151039,0,0
"5167",5167,1327.09753168314,3.70105435902359,-6.34419693343564,97.6827912674094,0,0
"5168",5168,1327.09753168314,3.70105435902359,-6.34419693343564,85.7071934343793,11.6473728018599,50.5633948250401
"5169",5169,1327.09753168314,3.70105435902359,-6.34419693343564,74.4858584635227,3.69289031878897,222.270580707368
"5170",5170,1327.09753168314,3.70105435902359,-6.34419693343564,64.4656222038123,2.31038225543651,396.739363704929
"5171",5171,1327.09753168314,3.70105435902359,-6.34419693343564,56.3281801663315,1.79967398404145,532.995680640976
"5172",5172,1327.09753168314,3.70105435902359,-6.34419693343564,51.007719147903,1.58677307099753,616.558852388128
"5173",5173,1327.09753168314,3.70105435902359,-6.34419693343564,49.4359311867275,1.53553726059342,640.211765020716
"5174",5174,1327.09753168314,3.70105435902359,-6.34419693343564,51.9575446451392,1.62002447597283,602.025729237989
"5175",5175,1327.09753168314,3.70105435902359,-6.34419693343564,58.0365518714067,1.88433866840063,505.135403374858
"5176",5176,1327.09753168314,3.70105435902359,-6.34419693343564,66.6955657183251,2.51497241669964,358.154000075583
"5177",5177,1327.09753168314,3.70105435902359,-6.34419693343564,77.0514411695682,4.38302940682052,178.375440180119
"5178",5178,1327.09753168314,3.70105435902359,-6.34419693343564,88.4845181465971,22.3368279670936,32.4673497807956
"5179",5179,1327.09753168314,3.70105435902359,-6.34419693343564,100.591329378502,0,0
"5180",5180,1327.09753168314,3.70105435902359,-6.34419693343564,113.100470393944,0,0
"5181",5181,1327.09753168314,3.70105435902359,-6.34419693343564,125.800683088618,0,0
"5182",5182,1327.09753168314,3.70105435902359,-6.34419693343564,138.464387083328,0,0
"5183",5183,1327.09753168314,3.70105435902359,-6.34419693343564,150.683269953061,0,0
"5184",5184,1327.09753168314,3.70105435902359,-6.34419693343564,161.210433147663,0,0
"5185",5185,1327.47621798406,3.71826856534463,-6.26469033795341,165.152623182299,0,0
"5186",5186,1327.47621798406,3.71826856534463,-6.26469033795341,158.817973633764,0,0
"5187",5187,1327.47621798406,3.71826856534463,-6.26469033795341,147.712424128867,0,0
