"Date","LGA","Capacity","Installations"
2001-05-01,"Kent",0,0
2001-05-01,"Kojonup",0,0
2001-05-01,"Kondinin",0,0
2001-05-01,"Koorda",0,0
2001-05-01,"Kulin",0,0
2001-05-01,"Kwinana",0,0
2001-05-01,"Lake Grace",0,0
2001-05-01,"Mandurah",0,0
2001-05-01,"Manjimup",0,0
2001-05-01,"Melville",0,0
2001-05-01,"Menzies",0,0
2001-05-01,"Merredin",0,0
2001-05-01,"Mingenew",0,0
2001-05-01,"Moora",0,0
2001-05-01,"Morawa",0,0
2001-05-01,"Mosman Park",0,0
2001-05-01,"Mount Marshall",0,0
2001-05-01,"Mukinbudin",0,0
2001-05-01,"Mundaring",0,0
2001-05-01,"Murchison",0,0
2001-05-01,"Murray",0,0
2001-05-01,"Nannup",0,0
2001-05-01,"Narembeen",0,0
2001-05-01,"Narrogin",0,0
2001-05-01,"Nedlands",0,0
2001-05-01,"Northam",0,0
2001-05-01,"Northampton",0,0
2001-05-01,"Nungarin",0,0
2001-05-01,"Peppermint Grove",0,0
2001-05-01,"Perenjori",0,0
2001-05-01,"Perth",0,0
2001-05-01,"Pingelly",0,0
2001-05-01,"Plantagenet",0,0
2001-05-01,"Quairading",0,0
2001-05-01,"Ravensthorpe",0,0
2001-05-01,"Rockingham",0,0
2001-05-01,"Serpentine-Jarrahdale",0,0
2001-05-01,"South Perth",0,0
2001-05-01,"Stirling",0,0
2001-05-01,"Subiaco",0,0
2001-05-01,"Swan",0,0
2001-05-01,"Tammin",0,0
2001-05-01,"Three Springs",0,0
2001-05-01,"Toodyay",0,0
2001-05-01,"Trayning",0,0
2001-05-01,"Victoria Park",0,0
2001-05-01,"Victoria Plains",0,0
2001-05-01,"Vincent",0,0
2001-05-01,"Wagin",0,0
2001-05-01,"Wandering",0,0
2001-05-01,"Wanneroo",0,0
2001-05-01,"Waroona",0,0
2001-05-01,"West Arthur",0,0
2001-05-01,"Westonia",0,0
2001-05-01,"Wickepin",0,0
2001-05-01,"Williams",0,0
2001-05-01,"Wongan-Ballidu",0,0
2001-05-01,"Woodanilling",0,0
2001-05-01,"Wyalkatchem",0,0
2001-05-01,"Yalgoo",0,0
2001-05-01,"Yilgarn",0,0
2001-05-01,"York",0,0
2001-06-01,"Albany",0,0
2001-06-01,"Armadale",0,0
2001-06-01,"Augusta Margaret River",0,0
2001-06-01,"Bassendean",0,0
2001-06-01,"Bayswater",0,0
2001-06-01,"Belmont",0,0
2001-06-01,"Beverley",0,0
2001-06-01,"Boddington",0,0
2001-06-01,"Boyup Brook",0,0
2001-06-01,"Bridgetown-Greenbushes",0,0
2001-06-01,"Brookton",0,0
2001-06-01,"Broomehill-Tambellup",0,0
2001-06-01,"Bruce Rock",0,0
2001-06-01,"Bunbury",0,0
2001-06-01,"Busselton",0,0
2001-06-01,"Cambridge",0,0
2001-06-01,"Canning",0,0
2001-06-01,"Capel",0,0
2001-06-01,"Carnamah",0,0
2001-06-01,"Chapman Valley",0,0
2001-06-01,"Chittering",0,0
2001-06-01,"Claremont",0,0
2001-06-01,"Cockburn",0,0
2001-06-01,"Collie",0,0
2001-06-01,"Coolgardie",0,0
2001-06-01,"Coorow",0,0
2001-06-01,"Corrigin",0,0
2001-06-01,"Cottesloe",0,0
2001-06-01,"Cranbrook",0,0
2001-06-01,"Cuballing",0,0
2001-06-01,"Cunderdin",0,0
2001-06-01,"Dalwallinu",0,0
2001-06-01,"Dandaragan",0,0
2001-06-01,"Dardanup",0,0
2001-06-01,"Denmark",0,0
2001-06-01,"Donnybrook-Balingup",0,0
2001-06-01,"Dowerin",0,0
2001-06-01,"Dumbleyung",0,0
2001-06-01,"Dundas",0,0
2001-06-01,"East Fremantle",0,0
2001-06-01,"Esperance",0,0
2001-06-01,"Fremantle",0,0
2001-06-01,"Gingin",0,0
2001-06-01,"Gnowangerup",0,0
2001-06-01,"Goomalling",0,0
2001-06-01,"Gosnells",0,0
2001-06-01,"Greater Geraldton",0,0
2001-06-01,"Harvey",0,0
2001-06-01,"Irwin",0,0
2001-06-01,"Jerramungup",0,0
2001-06-01,"Joondalup",0,0
2001-06-01,"Kalamunda",0,0
2001-06-01,"Kalgoorlie-Boulder",0,0
2001-06-01,"Katanning",0,0
2001-06-01,"Kellerberrin",0,0
2001-06-01,"Kent",0,0
2001-06-01,"Kojonup",0,0
2001-06-01,"Kondinin",0,0
2001-06-01,"Koorda",0,0
2001-06-01,"Kulin",0,0
2001-06-01,"Kwinana",0,0
2001-06-01,"Lake Grace",0,0
2001-06-01,"Mandurah",0,0
2001-06-01,"Manjimup",0,0
2001-06-01,"Melville",0,0
2001-06-01,"Menzies",0,0
2001-06-01,"Merredin",0,0
2001-06-01,"Mingenew",0,0
2001-06-01,"Moora",0,0
2001-06-01,"Morawa",0,0
2001-06-01,"Mosman Park",0,0
2001-06-01,"Mount Marshall",0,0
2001-06-01,"Mukinbudin",0,0
2001-06-01,"Mundaring",0,0
2001-06-01,"Murchison",0,0
2001-06-01,"Murray",0,0
2001-06-01,"Nannup",0,0
2001-06-01,"Narembeen",0,0
2001-06-01,"Narrogin",0,0
2001-06-01,"Nedlands",0,0
2001-06-01,"Northam",0,0
2001-06-01,"Northampton",0,0
2001-06-01,"Nungarin",0,0
2001-06-01,"Peppermint Grove",0,0
2001-06-01,"Perenjori",0,0
2001-06-01,"Perth",0,0
2001-06-01,"Pingelly",0,0
2001-06-01,"Plantagenet",0,0
2001-06-01,"Quairading",0,0
2001-06-01,"Ravensthorpe",0,0
2001-06-01,"Rockingham",0,0
2001-06-01,"Serpentine-Jarrahdale",0,0
2001-06-01,"South Perth",0,0
2001-06-01,"Stirling",0,0
2001-06-01,"Subiaco",0,0
2001-06-01,"Swan",0,0
2001-06-01,"Tammin",0,0
2001-06-01,"Three Springs",0,0
2001-06-01,"Toodyay",0,0
2001-06-01,"Trayning",0,0
2001-06-01,"Victoria Park",0,0
2001-06-01,"Victoria Plains",0,0
2001-06-01,"Vincent",0,0
2001-06-01,"Wagin",0,0
2001-06-01,"Wandering",0,0
2001-06-01,"Wanneroo",0,0
2001-06-01,"Waroona",0,0
2001-06-01,"West Arthur",0,0
2001-06-01,"Westonia",0,0
2001-06-01,"Wickepin",0,0
2001-06-01,"Williams",0,0
2001-06-01,"Wongan-Ballidu",0,0
2001-06-01,"Woodanilling",0,0
2001-06-01,"Wyalkatchem",0,0
2001-06-01,"Yalgoo",0,0
2001-06-01,"Yilgarn",0,0
2001-06-01,"York",0,0
2001-07-01,"Albany",0,0
2001-07-01,"Armadale",0,0
2001-07-01,"Augusta Margaret River",0,0
2001-07-01,"Bassendean",0,0
2001-07-01,"Bayswater",0,0
2001-07-01,"Belmont",0,0
2001-07-01,"Beverley",0,0
2001-07-01,"Boddington",0,0
2001-07-01,"Boyup Brook",0,0
2001-07-01,"Bridgetown-Greenbushes",0,0
2001-07-01,"Brookton",0,0
2001-07-01,"Broomehill-Tambellup",0,0
2001-07-01,"Bruce Rock",0,0
2001-07-01,"Bunbury",0,0
2001-07-01,"Busselton",0,0
2001-07-01,"Cambridge",0,0
2001-07-01,"Canning",0,0
2001-07-01,"Capel",0,0
2001-07-01,"Carnamah",0,0
2001-07-01,"Chapman Valley",0,0
2001-07-01,"Chittering",0,0
2001-07-01,"Claremont",0,0
2001-07-01,"Cockburn",0,0
2001-07-01,"Collie",0,0
2001-07-01,"Coolgardie",0,0
2001-07-01,"Coorow",0,0
2001-07-01,"Corrigin",0,0
2001-07-01,"Cottesloe",0,0
2001-07-01,"Cranbrook",0,0
2001-07-01,"Cuballing",0,0
2001-07-01,"Cunderdin",0,0
2001-07-01,"Dalwallinu",0,0
2001-07-01,"Dandaragan",0,0
2001-07-01,"Dardanup",0,0
2001-07-01,"Denmark",0,0
2001-07-01,"Donnybrook-Balingup",0,0
2001-07-01,"Dowerin",0,0
2001-07-01,"Dumbleyung",0,0
2001-07-01,"Dundas",0,0
2001-07-01,"East Fremantle",0,0
2001-07-01,"Esperance",0,0
2001-07-01,"Fremantle",0,0
2001-07-01,"Gingin",0,0
2001-07-01,"Gnowangerup",0,0
2001-07-01,"Goomalling",0,0
2001-07-01,"Gosnells",0,0
2001-07-01,"Greater Geraldton",0,0
2001-07-01,"Harvey",0,0
2001-07-01,"Irwin",0,0
2001-07-01,"Jerramungup",0,0
2001-07-01,"Joondalup",0,0
2001-07-01,"Kalamunda",0,0
2001-07-01,"Kalgoorlie-Boulder",0,0
2001-07-01,"Katanning",0,0
2001-07-01,"Kellerberrin",0,0
2001-07-01,"Kent",0,0
2001-07-01,"Kojonup",0,0
2001-07-01,"Kondinin",0,0
2001-07-01,"Koorda",0,0
2001-07-01,"Kulin",0,0
2001-07-01,"Kwinana",0,0
2001-07-01,"Lake Grace",0,0
2001-07-01,"Mandurah",0,0
2001-07-01,"Manjimup",0,0
2001-07-01,"Melville",0,0
2001-07-01,"Menzies",0,0
2001-07-01,"Merredin",0,0
2001-07-01,"Mingenew",0,0
2001-07-01,"Moora",0,0
2001-07-01,"Morawa",0,0
2001-07-01,"Mosman Park",0,0
2001-07-01,"Mount Marshall",0,0
2001-07-01,"Mukinbudin",0,0
2001-07-01,"Mundaring",0,0
2001-07-01,"Murchison",0,0
2001-07-01,"Murray",0,0
2001-07-01,"Nannup",0,0
2001-07-01,"Narembeen",0,0
2001-07-01,"Narrogin",0,0
2001-07-01,"Nedlands",0,0
2001-07-01,"Northam",0,0
2001-07-01,"Northampton",0,0
2001-07-01,"Nungarin",0,0
2001-07-01,"Peppermint Grove",0,0
2001-07-01,"Perenjori",0,0
2001-07-01,"Perth",0,0
2001-07-01,"Pingelly",0,0
2001-07-01,"Plantagenet",0,0
2001-07-01,"Quairading",0,0
2001-07-01,"Ravensthorpe",0,0
2001-07-01,"Rockingham",0,0
2001-07-01,"Serpentine-Jarrahdale",0,0
2001-07-01,"South Perth",0,0
2001-07-01,"Stirling",0,0
2001-07-01,"Subiaco",0,0
2001-07-01,"Swan",0,0
2001-07-01,"Tammin",0,0
2001-07-01,"Three Springs",0,0
2001-07-01,"Toodyay",0,0
2001-07-01,"Trayning",0,0
2001-07-01,"Victoria Park",0,0
2001-07-01,"Victoria Plains",0,0
2001-07-01,"Vincent",0,0
2001-07-01,"Wagin",0,0
2001-07-01,"Wandering",0,0
2001-07-01,"Wanneroo",0,0
2001-07-01,"Waroona",0,0
2001-07-01,"West Arthur",0,0
2001-07-01,"Westonia",0,0
2001-07-01,"Wickepin",0,0
2001-07-01,"Williams",0,0
2001-07-01,"Wongan-Ballidu",0,0
2001-07-01,"Woodanilling",0,0
2001-07-01,"Wyalkatchem",0,0
2001-07-01,"Yalgoo",0,0
2001-07-01,"Yilgarn",0,0
2001-07-01,"York",0,0
2001-08-01,"Albany",0,0
2001-08-01,"Armadale",0,0
2001-08-01,"Augusta Margaret River",0,0
2001-08-01,"Bassendean",0,0
2001-08-01,"Bayswater",0,0
2001-08-01,"Belmont",0,0
2001-08-01,"Beverley",0,0
2001-08-01,"Boddington",0,0
2001-08-01,"Boyup Brook",0,0
2001-08-01,"Bridgetown-Greenbushes",0,0
2001-08-01,"Brookton",0,0
2001-08-01,"Broomehill-Tambellup",0,0
2001-08-01,"Bruce Rock",0,0
2001-08-01,"Bunbury",0,0
2001-08-01,"Busselton",0,0
2001-08-01,"Cambridge",0,0
2001-08-01,"Canning",0,0
2001-08-01,"Capel",0,0
2001-08-01,"Carnamah",0,0
2001-08-01,"Chapman Valley",0,0
2001-08-01,"Chittering",0,0
2001-08-01,"Claremont",0,0
2001-08-01,"Cockburn",0,0
2001-08-01,"Collie",0,0
2001-08-01,"Coolgardie",0,0
2001-08-01,"Coorow",0,0
2001-08-01,"Corrigin",0,0
2001-08-01,"Cottesloe",0,0
2001-08-01,"Cranbrook",0,0
2001-08-01,"Cuballing",0,0
2001-08-01,"Cunderdin",0,0
2001-08-01,"Dalwallinu",0,0
2001-08-01,"Dandaragan",0,0
2001-08-01,"Dardanup",0,0
2001-08-01,"Denmark",0,0
2001-08-01,"Donnybrook-Balingup",0,0
2001-08-01,"Dowerin",0,0
2001-08-01,"Dumbleyung",0,0
2001-08-01,"Dundas",0,0
2001-08-01,"East Fremantle",0,0
2001-08-01,"Esperance",0,0
2001-08-01,"Fremantle",0,0
2001-08-01,"Gingin",0,0
2001-08-01,"Gnowangerup",0,0
2001-08-01,"Goomalling",0,0
2001-08-01,"Gosnells",0,0
2001-08-01,"Greater Geraldton",0,0
2001-08-01,"Harvey",0,0
2001-08-01,"Irwin",0,0
2001-08-01,"Jerramungup",0,0
2001-08-01,"Joondalup",0,0
2001-08-01,"Kalamunda",0,0
2001-08-01,"Kalgoorlie-Boulder",0,0
2001-08-01,"Katanning",0,0
2001-08-01,"Kellerberrin",0,0
2001-08-01,"Kent",0,0
2001-08-01,"Kojonup",0,0
2001-08-01,"Kondinin",0,0
2001-08-01,"Koorda",0,0
2001-08-01,"Kulin",0,0
2001-08-01,"Kwinana",0,0
2001-08-01,"Lake Grace",0,0
2001-08-01,"Mandurah",0,0
2001-08-01,"Manjimup",0,0
2001-08-01,"Melville",0,0
2001-08-01,"Menzies",0,0
2001-08-01,"Merredin",0,0
2001-08-01,"Mingenew",0,0
2001-08-01,"Moora",0,0
2001-08-01,"Morawa",0,0
2001-08-01,"Mosman Park",0,0
2001-08-01,"Mount Marshall",0,0
2001-08-01,"Mukinbudin",0,0
2001-08-01,"Mundaring",0,0
2001-08-01,"Murchison",0,0
2001-08-01,"Murray",0,0
2001-08-01,"Nannup",0,0
2001-08-01,"Narembeen",0,0
2001-08-01,"Narrogin",0,0
2001-08-01,"Nedlands",0,0
2001-08-01,"Northam",0,0
2001-08-01,"Northampton",0,0
2001-08-01,"Nungarin",0,0
2001-08-01,"Peppermint Grove",0,0
2001-08-01,"Perenjori",0,0
2001-08-01,"Perth",0,0
2001-08-01,"Pingelly",0,0
2001-08-01,"Plantagenet",0,0
