POA_CODE_2021,LGA_NAME_2021,Weight
6308,Pingelly,0.7
6308,Wandering,0.3
6309,Cuballing,1
6311,Cuballing,1
6312,Narrogin,0.952054795
6312,Wickepin,0.047945205
6313,Narrogin,1
6315,Dumbleyung,0.076271186
6315,Wagin,0.898305085
6315,West Arthur,0.025423729
6316,Woodanilling,1
6317,Dumbleyung,0.042682927
6317,Katanning,0.957317073
6318,Broomehill-Tambellup,1
6320,Broomehill-Tambellup,1
6321,Cranbrook,1
6322,Cranbrook,1
6323,Plantagenet,1
6324,Albany,0.067567568
6324,Plantagenet,0.932432432
6326,Plantagenet,1
6327,Albany,1
6328,Albany,1
6330,Albany,1
6333,Denmark,1
6335,Gnowangerup,1
6336,Gnowangerup,0.761904762
6336,Jerramungup,0.238095238
6337,Jerramungup,0.962962963
6337,Ravensthorpe,0.037037037
6338,Cranbrook,0.029850746
6338,Gnowangerup,0.179104478
6338,Jerramungup,0.686567164
6338,Plantagenet,0.104477612
6341,Kent,1
6343,Kent,1
6346,Jerramungup,0.126760563
6346,Ravensthorpe,0.873239437
6348,Ravensthorpe,1
6350,Dumbleyung,1
6351,Dumbleyung,1
6352,Dumbleyung,1
6353,Dumbleyung,0.108108108
6353,Lake Grace,0.891891892
6355,Kulin,0.28125
6355,Lake Grace,0.71875
6356,Lake Grace,1
6357,Kulin,1
6358,Kondinin,1
6359,Kondinin,0.774193548
6359,Kulin,0.225806452
6361,Wickepin,1
6363,Kulin,1
6365,Kulin,1
6367,Kondinin,1
6368,Narembeen,1
6369,Narembeen,1
6370,Wickepin,1
6372,Wickepin,1
6373,Corrigin,1
6375,Corrigin,1
6383,Quairading,1
6384,Quairading,1
6385,Bruce Rock,1
6386,Bruce Rock,1
6390,Boddington,0.970588235
6390,Wandering,0.029411765
6391,Boddington,0.114285714
6391,Williams,0.885714286
6392,West Arthur,0.913043478
6392,Williams,0.086956522
6393,West Arthur,1
6394,Kojonup,0.823529412
6394,West Arthur,0.117647059
6394,Woodanilling,0.058823529
6395,Kojonup,1
6396,Cranbrook,1
6397,Plantagenet,1
6398,Manjimup,1
6401,Goomalling,0.053892216
6401,Northam,0.946107784
6403,Northam,1
6405,Cunderdin,1
6407,Cunderdin,1
6409,Tammin,1
6410,Kellerberrin,1
6411,Kellerberrin,1
6412,Kellerberrin,1
6413,Merredin,1
6414,Merredin,1
6415,Merredin,1
6418,Bruce Rock,1
6419,Bruce Rock,1
6420,Merredin,0.5
6420,Narembeen,0.5
6421,Merredin,0.714285714
6421,Westonia,0.285714286
6422,Westonia,1
6423,Westonia,1
6424,Yilgarn,1
6425,Yilgarn,1
6426,Yilgarn,1
6427,Yilgarn,1
6428,Bruce Rock,1
6429,Coolgardie,1
6430,Kalgoorlie-Boulder,1
6431,Kalgoorlie-Boulder,1
6432,Kalgoorlie-Boulder,1
6434,Kalgoorlie-Boulder,1
6436,Menzies,1
6442,Coolgardie,1
6443,Coolgardie,0.5
6443,Dundas,0.5
6445,Esperance,1
6450,Ravensthorpe,1
6460,Goomalling,1
6461,Dowerin,1
6462,Dowerin,1
6463,Wyalkatchem,1
6465,Dowerin,1
6466,Wongan-Ballidu,1
6467,Wongan-Ballidu,1
6468,Dalwallinu,1
6470,Koorda,1
6472,Mount Marshall,1
6473,Mount Marshall,0.333333333
6473,Mukinbudin,0.666666667
6475,Koorda,1
6476,Mount Marshall,1
6477,Mount Marshall,1
6479,Mukinbudin,0.943396226
6479,Westonia,0.056603774
6480,Merredin,1
6484,Yilgarn,1
6485,Wyalkatchem,1
6487,Trayning,1
6488,Trayning,1
6489,Trayning,1
6490,Nungarin,1
6501,Chittering,1
6502,Chittering,0.961538462
6502,Toodyay,0.038461538
6503,Gingin,1
6504,Chittering,1
6505,Chittering,1
6506,Victoria Plains,1
6507,Dandaragan,1
6509,Victoria Plains,1
6510,Moora,0.95890411
6510,Victoria Plains,0.04109589
6511,Dandaragan,1
6512,Moora,1
6513,Coorow,0.210526316
6513,Moora,0.789473684
6514,Carnamah,0.016666667
6514,Coorow,0.983333333
6515,Coorow,1
6516,Dandaragan,1
6517,Carnamah,1
6518,Carnamah,0.857142857
6518,Coorow,0.142857143
6519,Three Springs,1
6521,Dandaragan,1
6522,Mingenew,1
6525,Irwin,1
6528,Greater Geraldton,1
6530,Chapman Valley,0.003738318
6530,Greater Geraldton,0.996261682
6532,Chapman Valley,0.292857143
6532,Greater Geraldton,0.642857143
6532,Northampton,0.064285714
6535,Northampton,1
6536,Northampton,1
6556,Mundaring,1
6558,Mundaring,1
6560,Northam,1
6562,Northam,1
6564,Northam,1
6566,Toodyay,1
6567,Toodyay,1
6568,Toodyay,0.285714286
6568,Victoria Plains,0.714285714
6569,Victoria Plains,1
6571,Victoria Plains,1
6572,Victoria Plains,1
6574,Moora,1
6575,Moora,1
6603,Goomalling,0.017241379
6603,Wongan-Ballidu,0.982758621
6605,Wongan-Ballidu,1
6606,Wongan-Ballidu,1
6608,Dalwallinu,1
6609,Dalwallinu,1
6612,Dalwallinu,0.933333333
6612,Yalgoo,0.066666667
6613,Dalwallinu,1
6614,Perenjori,1
6616,Perenjori,1
6620,Perenjori,1
6623,Morawa,0.96875
6623,Perenjori,0.03125
6625,Morawa,1
6627,Morawa,1
6628,Greater Geraldton,1
6630,Greater Geraldton,0.965517241
6630,Murchison,0.034482759
6631,Greater Geraldton,1
6632,Greater Geraldton,1
6635,Murchison,0.5
6635,Yalgoo,0.5
